,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
1,ZN,0.0,11.561904504492452,0.0,0.0,0.0,0.0,0.0,0.0
7,RAD,0.0,4.289541828805091,0.0,0.0,0.0,0.0,0.0,0.0
12,CHAS=0.0,0.0,,,,,,,
13,CHAS=1.0,0.00021671732058336284,,,,,,,
2,INDUS,0.0018105056184952956,3.443039676613363,0.0016599845132705977,-0.03153970575214141,0.0016599845132705977,0.03153970575214141,0.0,0.0
10,B,0.003209906195138408,45.72656881574895,-0.04023095789938152,0.02203259559559998,0.04023095789938152,0.02203259559559998,0.0,0.0
8,TAX,0.0061037757294934184,82.98343425017102,0.5462474433169562,-0.07383700568011961,0.5462474433169562,0.07383700568011961,0.0,0.0
5,AGE,0.007865281755120558,13.980126746690955,-0.06488678082935712,0.03648610279998877,0.07633151239551811,0.050723928446182315,0.0,0.0
3,NOX,0.017589520064576238,0.05877935520360989,0.06453424982890177,-0.14159719490786388,0.12547700118090033,0.17859478831928058,0.0,0.0
9,PTRATIO,0.022523476639127193,1.1129704632793018,0.3874038860934767,-0.17894347310925723,0.40793058498458457,0.17894347310925723,0.0,0.0
0,CRIM,0.028402559589957244,4.432033718258579,0.14433630448925075,-0.27552940693168204,0.19059559064152118,0.465041788069871,0.0,0.0
6,DIS,0.07710695089245478,1.0642935686250505,2.1623283068575487,0.1319911340989439,2.3426281071146384,0.4977575369265773,0.0,0.0
11,LSTAT,0.4015417745721277,3.5507877966079993,1.9450720566388005,-1.7516932247597357,1.94582210351034,1.7519432403835822,1.7524714166169773,1.5972660648418344
4,RM,0.4336295316229259,0.3542865889835718,-0.7604592292832627,1.15800416988628,0.8154588274487098,1.283009028480399,0.0,0.0
